"sum","avg"
"834","417.0000000000000000"
"138","138.0000000000000000"
"593","593.0000000000000000"
"1466","733.0000000000000000"
"1197","1197.0000000000000000"
"1549","516.3333333333333333"
"825","825.0000000000000000"
"5264","1052.8000000000000000"
"1703","1703.0000000000000000"
"26","26.0000000000000000"
"880","880.0000000000000000"
"473","473.0000000000000000"
"1313","1313.0000000000000000"
"925","925.0000000000000000"
"2107","1053.5000000000000000"
"391","391.0000000000000000"
"82","82.0000000000000000"
"2335","1167.5000000000000000"
"4777","1194.2500000000000000"
"902","902.0000000000000000"
"1636","1636.0000000000000000"
"250","250.0000000000000000"
"243","243.0000000000000000"
"83","83.0000000000000000"
"1048","1048.0000000000000000"
"883","883.0000000000000000"
"323","323.0000000000000000"
"1590","1590.0000000000000000"
"517","517.0000000000000000"
"313","313.0000000000000000"
"1708","1708.0000000000000000"
"1211","1211.0000000000000000"
"2547","1273.5000000000000000"
"1990","995.0000000000000000"
"698","698.0000000000000000"
"440","440.0000000000000000"
"4631","1157.7500000000000000"
"1598","799.0000000000000000"
"2101","525.2500000000000000"
"3047","609.4000000000000000"
"1100","1100.0000000000000000"
"741","741.0000000000000000"
"264","264.0000000000000000"
"209","209.0000000000000000"
"3099","1549.5000000000000000"
"1353","1353.0000000000000000"
"1405","1405.0000000000000000"
"174","174.0000000000000000"
"7478","1246.3333333333333333"
"5295","882.5000000000000000"
"1040","1040.0000000000000000"
"2917","972.3333333333333333"
"1082","1082.0000000000000000"
"1127","1127.0000000000000000"
"859","859.0000000000000000"
"1519","1519.0000000000000000"
"494","494.0000000000000000"
"1533","1533.0000000000000000"
"1119","1119.0000000000000000"
"1495","1495.0000000000000000"
"983","983.0000000000000000"
"742","742.0000000000000000"
"888","888.0000000000000000"
"788","788.0000000000000000"
"5925","1185.0000000000000000"
"1442","1442.0000000000000000"
"433","433.0000000000000000"
"2894","964.6666666666666667"
"462","462.0000000000000000"
"1239","1239.0000000000000000"
"458","458.0000000000000000"
"10652","968.3636363636363636"
"2107","702.3333333333333333"
"1629","1629.0000000000000000"
"2492","1246.0000000000000000"
"281","281.0000000000000000"
"1193","1193.0000000000000000"
"149","149.0000000000000000"
"1688","1688.0000000000000000"
"1610","1610.0000000000000000"
"1539","1539.0000000000000000"
"797","797.0000000000000000"
"1430","1430.0000000000000000"
"963","963.0000000000000000"
"65","65.0000000000000000"
"601","601.0000000000000000"
"6541","1090.1666666666666667"
"1581","1581.0000000000000000"
"6695","836.8750000000000000"
"1468","1468.0000000000000000"
"367","367.0000000000000000"
"2861","1430.5000000000000000"
"1377","1377.0000000000000000"
"9166","705.0769230769230769"
"844","844.0000000000000000"
"2004","668.0000000000000000"
"568","568.0000000000000000"
"446","446.0000000000000000"
"1615","1615.0000000000000000"
"1364","1364.0000000000000000"
"19","19.0000000000000000"
"3304","1101.3333333333333333"
"2365","1182.5000000000000000"
"110","110.0000000000000000"
"1421","710.5000000000000000"
"637","637.0000000000000000"
"582","582.0000000000000000"
"1505","1505.0000000000000000"
"1995","997.5000000000000000"
"1048","524.0000000000000000"
"1492","1492.0000000000000000"
"2924","731.0000000000000000"
"1076","538.0000000000000000"
"191","191.0000000000000000"
"995","995.0000000000000000"
"1148","1148.0000000000000000"
"6612","1102.0000000000000000"
"1785","446.2500000000000000"
"1031","1031.0000000000000000"
"2842","947.3333333333333333"
"1537","1537.0000000000000000"
"3024","1512.0000000000000000"
"1366","1366.0000000000000000"
"1041","520.5000000000000000"
"2925","975.0000000000000000"
"1409","704.5000000000000000"
"1315","1315.0000000000000000"
"1424","712.0000000000000000"
"581","290.5000000000000000"
"3091","1545.5000000000000000"
"1025","1025.0000000000000000"
"932","932.0000000000000000"
"824","824.0000000000000000"
"1734","867.0000000000000000"
"819","819.0000000000000000"
"612","612.0000000000000000"
"441","441.0000000000000000"
"1964","982.0000000000000000"
"643","643.0000000000000000"
"3205","801.2500000000000000"
"727","727.0000000000000000"
"1897","948.5000000000000000"
"904","904.0000000000000000"
"1992","996.0000000000000000"
"1038","1038.0000000000000000"
"2265","453.0000000000000000"
"1651","1651.0000000000000000"
"1318","1318.0000000000000000"
"3645","1215.0000000000000000"
"1488","1488.0000000000000000"
"670","670.0000000000000000"
"1388","1388.0000000000000000"
"193","193.0000000000000000"
"121","121.0000000000000000"
"1672","1672.0000000000000000"
"1421","1421.0000000000000000"
"653","653.0000000000000000"
"298","298.0000000000000000"
"1618","1618.0000000000000000"
"375","375.0000000000000000"
"57","57.0000000000000000"
"1316","1316.0000000000000000"
"661","661.0000000000000000"
"2905","1452.5000000000000000"
"2041","1020.5000000000000000"
"1759","879.5000000000000000"
"749","749.0000000000000000"
"13","13.0000000000000000"
"2512","1256.0000000000000000"
"25","25.0000000000000000"
"2885","1442.5000000000000000"
"2564","1282.0000000000000000"
"841","841.0000000000000000"
"1721","1721.0000000000000000"
"621","621.0000000000000000"
"1702","1702.0000000000000000"
"48","48.0000000000000000"
"3031","1010.3333333333333333"
"2437","1218.5000000000000000"
"1548","1548.0000000000000000"
"143","143.0000000000000000"
"3945","789.0000000000000000"
"1573","1573.0000000000000000"
"6705","670.5000000000000000"
"531","531.0000000000000000"
"779","779.0000000000000000"
"1458","1458.0000000000000000"
"240","240.0000000000000000"
"1150","1150.0000000000000000"
"1357","1357.0000000000000000"
"848","848.0000000000000000"
"506","506.0000000000000000"
"1917","479.2500000000000000"
"3224","1074.6666666666666667"
"3823","764.6000000000000000"
"1342","1342.0000000000000000"
"1214","1214.0000000000000000"
"1486","1486.0000000000000000"
"1139","569.5000000000000000"
